05-29-2019 22:13:58	20samples	Inp Size: 252	Resolution: [2, 3]	Total Epochs: 2000	Test Data: data/train2.txt	Samples: 10000	Acc: 74.49	Prec: 96.72	Rec: 50.7	Trained On: ['data/train20.txt']
05-29-2019 22:19:36	20samples	Inp Size: 252	Resolution: [2, 3]	Total Epochs: 2000	Test Data: data/train2.txt	Samples: 10000	Acc: 74.49	Prec: 96.72	Rec: 50.7	Trained On: ['data/train20.txt']
05-29-2019 22:20:15	20samples	Inp Size: 252	Resolution: [2, 3]	Total Epochs: 2000	Test Data: data/train2.txt	Samples: 10000	Acc: 74.49	Prec: 96.72	Rec: 50.7	Trained On: ['data/train20.txt']
05-29-2019 22:20:44	20samples	Inp Size: 252	Resolution: [2, 3]	Total Epochs: 2000	Test Data: data/train2.txt	Samples: 10000	Acc: 74.49	Prec: 96.72	Rec: 50.7	Trained On: ['data/train20.txt']
05-29-2019 22:21:09	50samples	Inp Size: 252	Resolution: [2, 3]	Total Epochs: 1000	Test Data: data/train2.txt	Samples: 10000	Acc: 98.99	Prec: 99.08	Rec: 98.9	Trained On: ['data/train50.txt']
05-30-2019 20:15:14	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 100	Test Data: data/train20.txt	Samples: 20	Acc: 100.0	Prec: 100.0	Rec: 100.0	Trained On: ['data/train20.txt']
05-30-2019 20:15:32	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 100	Test Data: data/train2.txt	Samples: 10000	Acc: 73.15	Prec: 93.83	Rec: 49.56	Trained On: ['data/train20.txt']
05-30-2019 20:16:29	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 1100	Test Data: data/train2.txt	Samples: 10000	Acc: 73.15	Prec: 97.23	Rec: 47.66	Trained On: ['data/train20.txt']
05-30-2019 20:17:33	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 1000	Test Data: data/train2.txt	Samples: 10000	Acc: 75.81	Prec: 95.23	Rec: 54.34	Trained On: ['data/train20.txt']
05-30-2019 20:17:58	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 1000	Test Data: data/train2.txt	Samples: 10000	Acc: 85.27	Prec: 99.25	Rec: 71.08	Trained On: ['data/train20.txt']
05-30-2019 20:19:33	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 2000	Test Data: data/train2.txt	Samples: 10000	Acc: 86.62	Prec: 99.27	Rec: 73.78	Trained On: ['data/train20.txt']
05-30-2019 20:20:02	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 3000	Test Data: data/train2.txt	Samples: 10000	Acc: 86.87	Prec: 99.41	Rec: 74.18	Trained On: ['data/train20.txt']
05-30-2019 20:21:08	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 3000	Test Data: data/train2.txt	Samples: 10000	Acc: 86.87	Prec: 99.41	Rec: 74.18	Trained On: ['data/train20.txt']
05-30-2019 20:21:41	20Samples	Inp Size: 36	Resolution: [2, 2]	Total Epochs: 3000	Test Data: data/train2.txt	Samples: 10000	Acc: 86.87	Prec: 99.41	Rec: 74.18	Trained On: ['data/train20.txt']
